"","q1","q2","q3","q4","q5","q7","q8","q9","q10","q11","q12","partyid","scale","likely","educ","racer","phonetyp","age","hisp","gender3","party2","county","race.st","smp","regionw","age4","agew","turnout3","partyw","region","likelyyn","rv.weight","turnout.score","lv.weight"
"487","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat","Approve","Oppose","Support","Real threat","Oppose","[DO NOT READ] Don't know/No opinion","Democrat","Ten (definitely will vote)","Very likely","Bachelors' degree","Caucasian/White","Landline and Cell Phone",52,"No","Female","Democratic","Palm Beach","White","Cell","Southeast",3,"45 to 64","High","Democratic","Southeast",1,1.07077419757843,0.994458277,1.06780723111455
"488","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","Patrick Murphy, the Democrat","[DO NOT READ] Don't know/No opinion","Oppose","Support","Real threat","[DO NOT READ] Don't know/No opinion","Poor","Independent (No party)","Ten (definitely will vote)","Very likely","Bachelors' degree","African American/Black","Cell Phone only",49,"[DO NOT READ] Refused","Male","Democratic","Palm Beach","Black","Cell","Southeast",3,"45 to 64","Middle","Democratic","Southeast",1,0.821564912796021,0.802114139,0.740276873138788
"489","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat","Approve","Oppose","Support","Real threat","Oppose","[DO NOT READ] Don't know/No opinion","Democrat","Ten (definitely will vote)","Almost certain","Graduate or Professional degree","Caucasian/White","Landline and Cell Phone",84,"No","Female","Democratic","Palm Beach","White","Landline","Southeast",4,"65+","High","Democratic","Southeast",1,1.12646043300629,0.99379378,1.12296490237202
"490","Unfavorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Marco Rubio, the Republican","Disapprove","[DO NOT READ] Don't know/No opinion","Support","Real threat","Support","Poor","Independent (No party)","Ten (definitely will vote)","Not at all likely","Bachelors' degree","Hispanic/Latino","Landline and Cell Phone",44,"Yes","Male","Republican","Palm Beach","Hispanic","Cell","Southeast",2,"30 to 44","High","Republican","Southeast",1,1.05643486976624,0.950213371,1.03013670377616
"491","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat","Approve","Oppose","[DO NOT READ] Don't know/No opinion","Real threat","Oppose","Good","Republican","Ten (definitely will vote)","Almost certain","Bachelors' degree","Caucasian/White","Cell Phone only",57,"No","Male","Republican","Palm Beach","White","Cell","Southeast",3,"45 to 64","Low","Republican","Southeast",1,1.53414225578308,0.24078315,0.951768930339318
"492","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat","[DO NOT READ] Don't know/No opinion","Oppose","Support","Real threat","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Refused","Ten (definitely will vote)","Somewhat likely","Bachelors' degree","Hispanic/Latino","Landline only",51,"Yes","Female","Democratic","Palm Beach","Hispanic","Cell","Southeast",3,"45 to 64","High","Democratic","Southeast",1,0.928718745708466,0.960533007,0.910391877126184
"493","Favorable","Unfavorable","Hillary Clinton, the Democrat","Gary Johnson, the Libertarian","Patrick Murphy, the Democrat","[DO NOT READ] Don't know/No opinion","Support","Support","Real threat","Oppose","[DO NOT READ] Don't know/No opinion","Independent (No party)","Ten (definitely will vote)","Almost certain","Graduate or Professional degree","Caucasian/White","Cell Phone only",30,"No","Female","Libertarian","Palm Beach","White","Cell","Southeast",2,"30 to 44","Middle","Other","Southeast",1,0.998647809028625,0.728451606,0.863057204671954
"494","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Marco Rubio, the Republican","[DO NOT READ] Don't know/No opinion","Oppose","Support","Real threat","Oppose","Fair","Republican","Ten (definitely will vote)","Almost certain","Graduate or Professional degree","Caucasian/White","Landline and Cell Phone",75,"No","Female","Republican","Palm Beach","White","Landline","Southeast",4,"65+","High","Republican","Southeast",1,1.40021860599518,0.905808156,1.33427401974428
"495","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat","Approve","Oppose","Support","Real threat","Oppose","Fair","Democrat","Ten (definitely will vote)","Very likely","Graduate or Professional degree","Caucasian/White","Landline and Cell Phone",84,"No","Male","Democratic","Palm Beach","White","Landline","Southeast",4,"65+","High","Democratic","Southeast",1,0.93955272436142,0.95291604,0.917433792915558
"496","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat","Approve","Oppose","Support","Real threat","Oppose","Fair","Democrat","Ten (definitely will vote)","Almost certain","Graduate or Professional degree","Hispanic/Latino","Cell Phone only",51,"Yes","Female","Democratic","Palm Beach","Hispanic","Cell","Southeast",3,"45 to 64","High","Democratic","Southeast",1,0.928718745708466,0.967980506,0.913850193555516
"497","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Marco Rubio, the Republican","Disapprove","Oppose","Oppose","Not","Support","Fair","Republican","Ten (definitely will vote)","Almost certain","Graduate or Professional degree","Caucasian/White","Landline and Cell Phone",42,"No","Male","Republican","Palm Beach","White","Cell","Southeast",2,"30 to 44","High","Republican","Southeast",1,1.21802711486816,0.96205149,1.19491595779374
"498","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat","Approve","[DO NOT READ] Don't know/No opinion","Support","Real threat","Oppose","Fair","Democrat","Nine","Very likely","Graduate or Professional degree","Caucasian/White","Landline and Cell Phone",56,"No","Female","Non-Partisan","Palm Beach","White","Landline","Southeast",3,"45 to 64","Middle","Other","Southeast",1,0.910202145576477,0.772971101,0.806881049632543
"499","Unfavorable","Unfavorable","[DO NOT READ] Don't know/No opinion","Gary Johnson, the Libertarian","Patrick Murphy, the Democrat","Disapprove","Support","Support","Real threat","Oppose","Fair","Democrat","Eight","Very likely","Some college or trade school","Caucasian/White","Landline and Cell Phone",40,"No","Male","Non-Partisan","Palm Beach","White","Cell","Southeast",2,"30 to 44","High","Other","Southeast",1,1.03191578388214,0.943181592,0.486641985925943
"500","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Marco Rubio, the Republican","Disapprove","Support","Oppose","[DO NOT READ] Don't know/No opinion","Support","Poor","Republican","Ten (definitely will vote)","Almost certain","Bachelors' degree","Caucasian/White","Landline and Cell Phone",53,"No","Female","Republican","Palm Beach","White","Landline","Southeast",3,"45 to 64","High","Republican","Southeast",1,1.33100020885468,0.993573951,1.32672367190862
"501","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Patrick Murphy, the Democrat","Disapprove","Support","Oppose","Real threat","Support","Fair","Independent (No party)","Ten (definitely will vote)","Almost certain","Graduate or Professional degree","[DO NOT READ] Refused","Cell Phone only",48,"No","Male","Democratic","Palm Beach","White","Cell","Southeast",3,"45 to 64","Middle","Democratic","Southeast",1,0.720902562141418,0.715472127,0.618344125457793
"502","Unfavorable","Favorable","Donald Trump, the Republican","Gary Johnson, the Libertarian","Marco Rubio, the Republican","Disapprove","Oppose","Oppose","Not","Support","[DO NOT READ] Don't know/No opinion","Republican","Ten (definitely will vote)","Almost certain","High school","Caucasian/White","Landline and Cell Phone",90,"No","Female","Republican","Palm Beach","White","Landline","Southeast",4,"65+","High","Republican","Southeast",1,1.40021860599518,0.943707641,1.36080780247171
"503","Favorable","Favorable","[DO NOT READ] Someone else (specify)","Gary Johnson, the Libertarian","Marco Rubio, the Republican","Approve","Oppose","Oppose","Real threat","Oppose","Good","Republican","Nine","Very likely","Some college or trade school","Caucasian/White","Landline and Cell Phone",60,"No","Female","Republican","Palm Beach","White","Cell","Southeast",3,"45 to 64","High","Republican","Southeast",1,1.33100020885468,0.996228172,1.32849005692679
"504","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat","Approve","[DO NOT READ] Don't know/No opinion","Support","Real threat","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","Democrat","Ten (definitely will vote)","Very likely","High school","Caucasian/White","Landline and Cell Phone",90,"No","Male","Democratic","Palm Beach","White","Landline","Southeast",4,"65+","High","Democratic","Southeast",1,0.93955272436142,0.990383095,0.935034929245306
"505","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat","Approve","Oppose","Support","Real threat","Oppose","Good","Democrat","Ten (definitely will vote)","Almost certain","Bachelors' degree","African American/Black","Landline and Cell Phone",56,"No","Female","Democratic","Palm Beach","Black","Landline","Southeast",3,"45 to 64","High","Democratic","Southeast",1,1.22029089927673,0.994803258,1.21712013079249
"506","Favorable","[DO NOT READ] Don't know/No opinion","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat","[DO NOT READ] Don't know/No opinion","Oppose","Oppose","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","Fair","Democrat","Ten (definitely will vote)","Almost certain","High school","Hispanic/Latino","Landline only",80,"Yes","Female","Democratic","Palm Beach","Hispanic","Landline","Southeast",4,"65+","High","Democratic","Southeast",1,0.977017998695374,0.997237848,0.975668662585807
"507","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat","Approve","Oppose","[DO NOT READ] Don't know/No opinion","Real threat","Support","Fair","Democrat","[DO NOT READ] Don't know/No opinion","Somewhat likely","Some college or trade school","Caucasian/White","Landline only",84,"No","Female","Democratic","Palm Beach","White","Landline","Southeast",4,"65+","High","Democratic","Southeast",1,1.12646043300629,0.978421047,1.11430651407296
"508","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat","Disapprove","Support","Oppose","Real threat","Oppose","Good","Independent (No party)","Ten (definitely will vote)","Almost certain","Some college or trade school","Caucasian/White","Landline and Cell Phone",83,"No","Male","Republican","Palm Beach","White","Landline","Southeast",4,"65+","High","Republican","Southeast",1,1.16789269447327,0.994994656,1.1649698421278
"509","Unfavorable","Unfavorable","Hillary Clinton, the Democrat","Jill Stein, the Green Party candidate","Patrick Murphy, the Democrat","Disapprove","Support","Oppose","Real threat","Support","Good","Independent (No party)","Seven","Somewhat likely","Some college or trade school","Caucasian/White","Cell Phone only",60,"No","Female","Non-Partisan","Palm Beach","White","Cell","Southeast",3,"45 to 64","Middle","Other","Southeast",0,0.910202145576477,0.697899767,0.317614933115463
"510","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat","Approve","Oppose","Support","Real threat","Oppose","Poor","Democrat","Ten (definitely will vote)","Almost certain","Some college or trade school","African American/Black","Landline and Cell Phone",87,"No","Male","Democratic","Palm Beach","Black","Landline","Southeast",4,"65+","High","Democratic","Southeast",1,1.0707460641861,0.989657003,1.0652087019859
"511","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat","Approve","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","Real threat","Oppose","Poor","Independent (No party)","Ten (definitely will vote)","Almost certain","Graduate or Professional degree","Caucasian/White","Landline and Cell Phone",65,"No","Female","Non-Partisan","Palm Beach","White","Landline","Southeast",4,"65+","High","Other","Southeast",1,1.18626725673676,0.966296657,1.16627667002189
"512","[DO NOT READ] Don't know/No opinion","Unfavorable","Hillary Clinton, the Democrat","Gary Johnson, the Libertarian","Patrick Murphy, the Democrat","Approve","[DO NOT READ] Don't know/No opinion","Support","Real threat","Oppose","Poor","Independent (No party)","Ten (definitely will vote)","Almost certain","Some college or trade school","Caucasian/White","Landline and Cell Phone",59,"No","Female","Non-Partisan","Palm Beach","White","Landline","Southeast",3,"45 to 64","Low","Other","Southeast",1,1.55829095840454,0.304667308,1.0165256348912
"513","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Marco Rubio, the Republican","Disapprove","Support","Support","Real threat","Support","Good","Republican","Ten (definitely will vote)","Almost certain","Some college or trade school","Caucasian/White","Landline and Cell Phone",80,"No","Female","Republican","Palm Beach","White","Landline","Southeast",4,"65+","High","Republican","Southeast",1,1.40021860599518,0.997462153,1.39844183500078
"514","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","[DO NOT READ] Don't know/No opinion","Approve","Oppose","Support","Real threat","Oppose","Fair","Democrat","Ten (definitely will vote)","Almost certain","Some college or trade school","Hispanic/Latino","Landline only",64,"Yes","Male","Democratic","Palm Beach","Hispanic","Landline","Southeast",3,"45 to 64","High","Democratic","Southeast",1,0.77462249994278,0.966373062,0.761598408553289
"515","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat","Approve","Oppose","Support","Real threat","Oppose","[DO NOT READ] Don't know/No opinion","Democrat","Ten (definitely will vote)","Almost certain","Graduate or Professional degree","Caucasian/White","Landline and Cell Phone",63,"No","Male","Democratic","Palm Beach","White","Landline","Southeast",3,"45 to 64","High","Democratic","Southeast",1,0.893105924129486,0.995826999,0.891242457725684
"516","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Marco Rubio, the Republican","Disapprove","[DO NOT READ] Don't know/No opinion","Support","Real threat","[DO NOT READ] Don't know/No opinion","Poor","Republican","Ten (definitely will vote)","Almost certain","Bachelors' degree","Caucasian/White","Cell Phone only",55,"No","Female","Republican","Palm Beach","White","Cell","Southeast",3,"45 to 64","High","Republican","Southeast",1,1.33100020885468,0.996215784,1.3284818127115
"517","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat","Approve","[DO NOT READ] Don't know/No opinion","Support","Real threat","Oppose","Fair","Independent (No party)","Ten (definitely will vote)","Very likely","Graduate or Professional degree","Asian","Landline and Cell Phone",54,"No","Female","Registered Independent","Palm Beach","Other","Landline","Southeast",3,"45 to 64","Middle","Other","Southeast",1,0.670634031295776,0.725778797,0.57868299621376
"518","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat","Approve","Oppose","Support","Real threat","Oppose","Poor","Democrat","Ten (definitely will vote)","Almost certain","Bachelors' degree","Caucasian/White","Landline and Cell Phone",47,"No","Male","Democratic","Palm Beach","White","Cell","Southeast",3,"45 to 64","High","Democratic","Southeast",1,0.893105924129486,0.970574062,0.879965684354053
"519","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat","Approve","Support","Support","Real threat","Oppose","Fair","Democrat","Ten (definitely will vote)","Almost certain","Graduate or Professional degree","Caucasian/White","Landline and Cell Phone",69,"No","Female","Democratic","Orange","White","Landline","Central",4,"65+","High","Democratic","Central",1,1.31235146522522,0.994908677,1.3090106632819
"520","Unfavorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat","Approve","Support","Support","Real threat","Oppose","Fair","Democrat","Ten (definitely will vote)","Almost certain","Graduate or Professional degree","Caucasian/White","Landline and Cell Phone",45,"No","Male","Democratic","Palm Beach","White","Landline","Southeast",3,"45 to 64","High","Democratic","Southeast",1,0.893105924129486,0.995981224,0.891311327802811
"521","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","[DO NOT READ] Don't know/No opinion","Disapprove","Support","Oppose","Real threat","Support","Fair","Republican","Ten (definitely will vote)","Almost certain","Some college or trade school","Caucasian/White","Cell Phone only",65,"No","Female","Republican","Orange","White","Landline","Central",4,"65+","High","Republican","Central",1,1.63127303123474,0.926473276,1.57130195026662
"522","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat","Approve","Oppose","Support","Real threat","Oppose","Poor","Democrat","Ten (definitely will vote)","Almost certain","Graduate or Professional degree","Caucasian/White","Landline and Cell Phone",70,"No","Female","Democratic","Orange","White","Landline","Central",4,"65+","High","Democratic","Central",1,1.31235146522522,0.994244038,1.30857454264298
"523","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat","Approve","Oppose","Support","Real threat","Oppose","Poor","Democrat","Ten (definitely will vote)","Almost certain","Bachelors' degree","[DO NOT READ] Other/Something else (specify)","Landline and Cell Phone",43,"No","Male","Non-Partisan","Palm Beach","Other","Cell","Southeast",2,"30 to 44","High","Other","Southeast",1,0.760307669639587,0.942722425,0.738533380234313
"524","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Marco Rubio, the Republican","[DO NOT READ] Don't know/No opinion","Support","Support","Real threat","Support","Good","Independent (No party)","Ten (definitely will vote)","Almost certain","High school","Caucasian/White","Cell Phone only",60,"No","Male","Non-Partisan","Orange","White","Cell","Central",3,"45 to 64","Low","Other","Central",1,1.51420390605927,0.278303513,0.967806087014042
"525","[DO NOT READ] Don't know/No opinion","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat","Approve","Oppose","Oppose","Real threat","Oppose","Poor","Democrat","Ten (definitely will vote)","Almost certain","Graduate or Professional degree","Hispanic/Latino","Cell Phone only",36,"Yes","Male","Democratic","Pinellas","Hispanic","Cell","Bay Area",2,"30 to 44","Middle","Democratic","Bay Area",1,0.645132720470428,0.734074075,0.559353962428429
"526","Favorable","Unfavorable","[DO NOT READ] Someone else (specify)","Jill Stein, the Green Party candidate","Patrick Murphy, the Democrat","Approve","[DO NOT READ] Don't know/No opinion","Support","Real threat","Oppose","[DO NOT READ] Don't know/No opinion","Democrat","Ten (definitely will vote)","Almost certain","[DO NOT READ] Refused","[DO NOT READ] Refused","Cell Phone only",35,"[DO NOT READ] Refused","Female","Democratic","Duval","Hispanic","Cell","North/Panhandle",2,"30 to 44","Middle","Democratic","North/Panhandle",1,0.62942510843277,0.718207657,0.540741520723333
"527","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat","Approve","Oppose","Support","Real threat","Oppose","Poor","Democrat","Ten (definitely will vote)","Almost certain","Bachelors' degree","African American/Black","Landline and Cell Phone",39,"No","Female","Democratic","Martin","Black","Landline","Central",2,"30 to 44","High","Democratic","Central",1,1.55979895591736,0.992260813,1.55376316879613
"528","Unfavorable","Unfavorable","[DO NOT READ] Won't vote","Jill Stein, the Green Party candidate","Patrick Murphy, the Democrat","Approve","Support","Support","Real threat","Support","Poor","Independent (No party)","Five","Somewhat likely","Bachelors' degree","Caucasian/White","Cell Phone only",34,"No","Male","Democratic","Orange","White","Cell","Central",2,"30 to 44","Middle","Democratic","Central",0,0.92147159576416,0.740718388,0.341275477501108
"529","Unfavorable","Unfavorable","[DO NOT READ] Someone else (specify)","Gary Johnson, the Libertarian","Patrick Murphy, the Democrat","Disapprove","Oppose","Oppose","Real threat","Support","Fair","Democrat","Ten (definitely will vote)","Very likely","Bachelors' degree","Caucasian/White","Cell Phone only",32,"No","Female","Democratic","Polk","White","Cell","Bay Area",2,"30 to 44","High","Democratic","Bay Area",1,1.10480439662933,0.948473178,1.07634086688437
"530","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Patrick Murphy, the Democrat","Disapprove","Oppose","Oppose","Not","Oppose","Fair","Republican","Ten (definitely will vote)","Very likely","Bachelors' degree","Caucasian/White","Landline and Cell Phone",40,"No","Male","Republican","Brevard","White","Landline","Central",2,"30 to 44","Middle","Republican","Central",1,1.14541530609131,0.821604427,1.04324679673745
"531","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat","Approve","Support","Oppose","Real threat","Oppose","Fair","Democrat","Ten (definitely will vote)","Almost certain","Graduate or Professional degree","Hispanic/Latino","Cell Phone only",30,"Yes","Female","Democratic","Palm Beach","Hispanic","Cell","Southeast",2,"30 to 44","Middle","Democratic","Southeast",1,0.822488248348236,0.769582403,0.727730365064422
"532","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat","Approve","Support","Support","Real threat","Oppose","Good","Democrat","Ten (definitely will vote)","Very likely","Bachelors' degree","Hispanic/Latino","Landline and Cell Phone",58,"Yes","Male","Democratic","Orange","Hispanic","Cell","Central",3,"45 to 64","High","Democratic","Central",1,0.902443945407867,0.989854202,0.897865938419652
"533","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat","Approve","Support","Oppose","Real threat","Support","Fair","Democrat","Ten (definitely will vote)","Almost certain","Some college or trade school","Caucasian/White","Cell Phone only",59,"No","Male","Democratic","Orange","White","Landline","Central",3,"45 to 64","High","Democratic","Central",1,1.04048633575439,0.994348033,1.03754593905782
"534","Unfavorable","Unfavorable","[DO NOT READ] Won't vote","[DO NOT READ] Won't vote","[DO NOT READ] Don't know/No opinion","Approve","Support","Oppose","Not","Oppose","Poor","Democrat","Five","[DO NOT READ] Don't know/Refused","Bachelors' degree","African American/Black","Cell Phone only",29,"No","Female","Democratic","Orange","Black","Cell","Central",1,"18 to 29","Middle","Democratic","Central",0,1.05457520484924,0.758464635,0.399928999440303
"535","Unfavorable","Unfavorable","[DO NOT READ] Won't vote","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Won't vote","Approve","Support","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","Oppose","Poor","Democrat","Ten (definitely will vote)","Very likely","Some college or trade school","[DO NOT READ] Refused","Landline and Cell Phone",47,"No","Male","Democratic","Orange","Black","Cell","Central",3,"45 to 64","High","Democratic","Central",1,1.18577265739441,0.962948943,1.16380559164244
"536","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Marco Rubio, the Republican","Approve","Support","[DO NOT READ] Don't know/No opinion","Not","Oppose","Fair","Independent (No party)","Five","Very likely","Some college or trade school","Caucasian/White","Landline and Cell Phone",81,"No","Male","Non-Partisan","Lake","White","Landline","Central",4,"65+","High","Other","Central",1,1.15271198749542,0.964271677,0.555763761216463
"537","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Marco Rubio, the Republican","Disapprove","Support","Oppose","Not","Support","[DO NOT READ] Don't know/No opinion","Republican","Ten (definitely will vote)","Almost certain","Graduate or Professional degree","Caucasian/White","Landline and Cell Phone",59,"No","Female","Republican","Orange","White","Landline","Central",3,"45 to 64","High","Republican","Central",1,1.5506294965744,0.99458956,1.54643470264768
"538","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Marco Rubio, the Republican","Disapprove","Support","Oppose","Real threat","Support","Good","Independent (No party)","Ten (definitely will vote)","Almost certain","Bachelors' degree","Caucasian/White","Refused",61,"No","Male","Republican","Orange","White","Landline","Central",3,"45 to 64","High","Republican","Central",1,1.29334890842438,0.995109189,1.29018614653697
"539","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat","Approve","Oppose","Support","Real threat","Oppose","[DO NOT READ] Don't know/No opinion","Democrat","Five","Somewhat likely","Graduate or Professional degree","African American/Black","Landline and Cell Phone",41,"No","Female","Democratic","Orange","Black","Landline","Central",2,"30 to 44","Middle","Democratic","Central",0,1.2590514421463,0.718030553,0.452018701000352
"540","Favorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Marco Rubio, the Republican","Disapprove","Support","Support","Not","Support","Good","Republican","Ten (definitely will vote)","Almost certain","Bachelors' degree","Caucasian/White","Cell Phone only",65,"No","Female","Republican","Volusia","White","Cell","Central",4,"65+","Low","Republican","Central",1,2.25430369377136,0.349074763,1.52061211182946
"541","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Marco Rubio, the Republican","Approve","Support","Support","Real threat","Oppose","Fair","Democrat","Ten (definitely will vote)","Almost certain","Some college or trade school","Caucasian/White","Cell Phone only",60,"No","Male","Democratic","Orange","White","Cell","Central",3,"45 to 64","High","Democratic","Central",1,1.04048633575439,0.99341214,1.03705904659846
"542","Unfavorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Marco Rubio, the Republican","Disapprove","Support","Support","Real threat","Oppose","Fair","Independent (No party)","Ten (definitely will vote)","Almost certain","Bachelors' degree","Caucasian/White","Landline and Cell Phone",49,"No","Female","Republican","Orange","White","Cell","Central",3,"45 to 64","High","Republican","Central",1,1.5506294965744,0.971781153,1.52875100754033
"543","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat","Approve","Oppose","Support","Real threat","Oppose","Good","Democrat","Ten (definitely will vote)","Very likely","Bachelors' degree","African American/Black","Landline and Cell Phone",57,"No","Female","Democratic","Orange","Black","Landline","Central",3,"45 to 64","High","Democratic","Central",1,1.42166614532471,0.988838769,1.41373237390912
"544","Unfavorable","Unfavorable","[DO NOT READ] Won't vote","Gary Johnson, the Libertarian","[DO NOT READ] Won't vote","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","Support","Not","Support","Good","Independent (No party)","Four","Somewhat likely","Bachelors' degree","[DO NOT READ] Other/Something else (specify)","Landline and Cell Phone",35,"No","Male","Non-Partisan","Orange","White","Landline","Central",2,"30 to 44","Middle","Other","Central",0,0.970392823219299,0.805149609,0.390655700610516
"545","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Marco Rubio, the Republican","Disapprove","Support","[DO NOT READ] Don't know/No opinion","Not","Support","[DO NOT READ] Don't know/No opinion","Republican","Ten (definitely will vote)","Almost certain","Some college or trade school","Caucasian/White","Landline and Cell Phone",90,"No","Female","Republican","Orange","White","Cell","Central",4,"65+","High","Republican","Central",1,1.63127303123474,0.994682597,1.62693596399532
"546","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat","Approve","Oppose","Support","Real threat","Oppose","[DO NOT READ] Don't know/No opinion","Democrat","Ten (definitely will vote)","Almost certain","Graduate or Professional degree","Caucasian/White","Landline and Cell Phone",71,"No","Female","Democratic","Polk","White","Landline","Bay Area",4,"65+","High","Democratic","Bay Area",1,1.05932211875916,0.996434053,1.0574333760231
"547","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Marco Rubio, the Republican","Disapprove","Support","Oppose","Not","Support","Fair","Democrat","Ten (definitely will vote)","Almost certain","Some college or trade school","Caucasian/White","Landline and Cell Phone",59,"No","Male","Democratic","Polk","White","Landline","Bay Area",3,"45 to 64","High","Democratic","Bay Area",1,0.839878261089325,0.995209997,0.83786675097426
"548","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat","[DO NOT READ] Don't know/No opinion","Oppose","[DO NOT READ] Don't know/No opinion","Real threat","Oppose","[DO NOT READ] Don't know/No opinion","Democrat","Ten (definitely will vote)","Very likely","Graduate or Professional degree","Caucasian/White","Landline and Cell Phone",71,"No","Male","Democratic","Polk","White","Cell","Bay Area",4,"65+","High","Democratic","Bay Area",1,0.883555293083191,0.996501332,0.882009659768121
